iter	Passed	Remaining
786	26681	41124
787	26716	41092
788	26749	41056
789	26781	41019
790	26813	40983
791	26840	40939
792	26870	40898
793	26902	40862
794	26935	40826
795	26966	40788
796	26997	40750
797	27025	40707
798	27051	40662
799	27080	40621
800	27107	40577
801	27162	40574
802	27212	40564
803	27250	40536
804	27286	40506
805	27314	40463
806	27343	40422
807	27373	40382
808	27399	40337
809	27425	40291
810	27452	40247
811	27480	40204
812	27513	40171
813	27551	40142
814	27594	40121
815	27638	40102
816	27677	40075
817	27714	40046
818	27746	40011
819	27782	39979
820	27814	39942
821	27850	39912
822	27891	39889
823	27935	39868
824	27977	39846
825	28014	39816
826	28054	39792
827	28093	39764
828	28205	39841
829	28260	39836
830	28295	39804
831	28323	39762
832	28345	39710
833	28370	39663
834	28394	39615
835	28418	39568
836	28441	39519
837	28463	39468
838	28487	39420
839	28510	39371
840	28534	39324
841	28557	39275
842	28582	39229
843	28605	39180
844	28637	39143
845	28663	39098
846	28690	39055
847	28718	39013
848	28751	38979
849	28783	38942
850	28816	38907
851	28839	38859
852	28867	38816
853	28889	38767
854	28916	38724
855	28945	38683
856	28973	38642
857	28997	38596
858	29023	38551
859	29047	38504
860	29077	38465
861	29103	38421
862	29128	38376
863	29150	38327
864	29181	38289
865	29206	38244
866	29233	38202
867	29263	38163
868	29294	38126
869	29324	38088
870	29352	38047
871	29380	38006
872	29412	37969
873	29445	37935
874	29476	37898
875	29507	37860
876	29534	37819
877	29560	37775
878	29592	37739
879	29621	37700
880	29660	37672
881	29689	37634
882	29718	37593
883	29744	37550
884	29773	37510
885	29800	37469
886	29825	37424
887	29852	37383
888	29881	37344
889	29908	37301
890	29936	37261
891	29965	37221
892	29993	37180
893	30021	37141
894	30052	37104
895	30082	37066
896	30124	37043
897	30172	37026
898	30214	37003
899	30256	36979
900	30287	36942
901	30313	36900
902	30340	36858
903	30368	36818
904	30395	36776
905	30422	36735
906	30451	36696
907	30477	36653
908	30504	36612
909	30532	36571
910	30559	36530
911	30586	36488
912	30612	36446
913	30636	36401
914	30661	36358
915	30684	36312
916	30711	36270
917	30736	36228
918	30764	36188
919	30791	36146
920	30818	36105
921	30847	36066
922	30874	36025
923	30900	35983
924	30926	35941
925	30954	35901
926	30982	35861
927	31009	35821
928	31037	35781
929	31061	35737
930	31089	35698
931	31114	35654
932	31141	35614
933	31169	35575
934	31196	35533
935	31223	35493
936	31250	35453
937	31277	35412
938	31305	35373
939	31329	35328
940	31356	35288
941	31384	35249
942	31412	35209
943	31488	35224
944	31537	35208
945	31575	35180
946	31603	35140
947	31629	35099
948	31655	35057
949	31679	35013
950	31703	34970
951	31727	34927
952	31753	34885
953	31782	34847
954	31810	34808
955	31839	34769
956	31866	34730
957	31889	34686
958	31915	34644
959	31938	34599
960	31962	34556
961	31985	34511
962	32008	34467
963	32033	34426
964	32055	34380
965	32080	34338
966	32102	34293
967	32125	34248
968	32147	34204
969	32170	34160
970	32198	34122
971	32219	34075
972	32244	34033
973	32267	33990
974	32292	33948
975	32312	33901
976	32333	33856
977	32357	33813
978	32381	33770
979	32406	33729
980	32429	33685
981	32450	33640
982	32480	33603
983	32506	33563
984	32532	33523
985	32559	33484
986	32584	33442
987	32613	33405
988	32642	33368
989	32667	33327
990	32696	33290
991	32729	33257
992	32780	33242
993	32830	33226
994	32868	33198
995	32900	33164
996	32928	33126
997	32956	33088
998	32987	33053
999	33019	33019
1000	33049	32983
1001	33082	32950
1002	33115	32917
1003	33147	32883
1004	33179	32849
1005	33212	32816
1006	33241	32779
1007	33271	32743
1008	33299	32705
1009	33328	32668
1010	33357	32632
1011	33385	32593
1012	33415	32557
1013	33441	32518
1014	33469	32480
1015	33497	32442
1016	33522	32401
1017	33551	32364
1018	33579	32327
1019	33604	32286
1020	33631	32248
1021	33658	32209
1022	33682	32167
1023	33707	32127
1024	33735	32089
1025	33763	32052
1026	33789	32012
1027	33815	31973
1028	33845	31937
1029	33870	31897
1030	33894	31856
1031	33918	31814
1032	33944	31775
1033	33968	31734
1034	33993	31694
1035	34016	31652
1036	34041	31612
1037	34069	31575
1038	34095	31536
1039	34122	31497
1040	34145	31456
1041	34171	31416
1042	34195	31375
1043	34226	31341
1044	34324	31368
1045	34368	31345
1046	34396	31308
1047	34422	31269
1048	34451	31232
1049	34480	31196
1050	34508	31159
1051	34542	31127
1052	34577	31096
1053	34616	31069
1054	34648	31035
1055	34679	31001
1056	34711	30967
1057	34746	30937
1058	34784	30908
1059	34818	30877
1060	34854	30846
1061	34887	30814
1062	34924	30784
1063	34954	30749
1064	34994	30723
1065	35028	30691
1066	35055	30653
1067	35080	30613
1068	35106	30574
1069	35132	30535
1070	35157	30495
1071	35186	30459
1072	35220	30428
1073	35254	30396
1074	35285	30361
1075	35313	30324
1076	35335	30283
1077	35362	30245
1078	35386	30205
1079	35415	30169
1080	35457	30144
1081	35494	30114
1082	35529	30083
1083	35563	30052
1084	35590	30013
1085	35615	29974
1086	35642	29936
1087	35673	29902
1088	35697	29862
1089	35723	29823
1090	35747	29783
1091	35774	29746
1092	35802	29709
1093	35834	29676
1094	35860	29638
1095	35893	29605
1096	35924	29571
1097	35958	29539
1098	35988	29504
1099	36013	29465
1100	36038	29426
1101	36069	29392
1102	36095	29354
1103	36128	29322
1104	36156	29284
1105	36183	29247
1106	36209	29209
1107	36238	29173
1108	36273	29142
1109	36306	29110
1110	36340	29078
1111	36371	29045
1112	36401	29010
1113	36428	28972
1114	36453	28934
1115	36478	28895
1116	36504	28856
1117	36530	28818
1118	36555	28780
1119	36581	28742
1120	36606	28704
1121	36639	28671
1122	36671	28638
1123	36704	28605
1124	36730	28568
1125	36766	28538
1126	36794	28501
1127	36821	28465
1128	36862	28438
1129	36900	28409
1130	36937	28381
1131	36982	28357
1132	37014	28324
1133	37042	28288
1134	37067	28249
1135	37095	28213
1136	37125	28179
1137	37151	28141
1138	37183	28108
1139	37215	28074
1140	37242	28037
1141	37269	28000
1142	37299	27966
1143	37328	27930
1144	37356	27895
1145	37385	27859
1146	37412	27822
1147	37441	27787
1148	37466	27749
1149	37494	27713
1150	37519	27675
1151	37544	27636
1152	37568	27598
1153	37593	27559
1154	37631	27531
1155	37657	27494
1156	37683	27456
1157	37710	27420
1158	37736	27382
1159	37760	27344
1160	37786	27306
1161	37812	27269
1162	37836	27230
1163	37863	27193
1164	37888	27156
1165	37913	27118
1166	37943	27083
1167	37971	27048
1168	37999	27012
1169	38026	26976
1170	38057	26942
1171	38090	26910
1172	38122	26877
1173	38357	26987
1174	38386	26952
1175	38410	26913
1176	38436	26876
1177	38459	26837
1178	38483	26798
1179	38508	26759
1180	38532	26721
1181	38556	26683
1182	38581	26645
1183	38605	26606
1184	38630	26568
1185	38654	26529
1186	38674	26489
1187	38698	26450
1188	38731	26418
1189	38767	26387
1190	38797	26353
1191	38824	26317
1192	38852	26281
1193	38878	26244
1194	38901	26205
1195	38923	26165
1196	38950	26130
1197	38977	26093
1198	39002	26056
1199	39030	26020
1200	39054	25982
1201	39081	25945
1202	39103	25906
1203	39128	25868
1204	39151	25830
1205	39174	25791
1206	39196	25752
1207	39218	25713
1208	39241	25674
1209	39266	25636
1210	39292	25600
1211	39317	25563
1212	39343	25526
1213	39371	25491
1214	39401	25457
1215	39433	25424
1216	39468	25393
1217	39499	25360
1218	39533	25328
1219	39564	25295
1220	39596	25262
1221	39625	25228
1222	39668	25201
1223	39704	25172
1224	39742	25143
1225	39774	25110
1226	39803	25075
1227	39832	25041
1228	39864	25008
1229	39894	24974
1230	39926	24941
1231	39960	24910
1232	40002	24883
1233	40043	24856
1234	40075	24823
1235	40108	24792
1236	40137	24757
1237	40168	24724
1238	40197	24689
1239	40222	24652
1240	40247	24615
1241	40273	24579
1242	40301	24544
1243	40328	24508
1244	40355	24472
1245	40383	24437
1246	40412	24402
1247	40436	24365
1248	40463	24329
1249	40486	24291
1250	40512	24255
1251	40537	24219
1252	40570	24187
1253	40603	24154
1254	40636	24122
1255	40667	24089
1256	40694	24054
1257	40721	24018
1258	40748	23983
1259	40773	23946
1260	40800	23910
1261	40835	23880
1262	40871	23849
1263	40909	23820
1264	40946	23791
1265	40982	23760
1266	41023	23733
1267	41061	23704
1268	41129	23692
1269	41200	23682
1270	41251	23660
1271	41291	23632
1272	41343	23611
1273	41397	23590
1274	41441	23564
1275	41476	23533
1276	41504	23498
1277	41537	23466
1278	41567	23432
1279	41599	23399
1280	41635	23369
1281	41671	23338
1282	41704	23306
1283	41744	23278
1284	41777	23246
1285	41911	23269
1286	41942	23236
1287	41970	23201
1288	41996	23164
1289	42027	23131
1290	42069	23104
1291	42096	23068
1292	42124	23033
1293	42157	23000
1294	42185	22966
1295	42210	22929
1296	42241	22895
1297	42277	22865
1298	42319	22837
1299	42350	22804
1300	42381	22770
1301	42407	22734
1302	42436	22700
1303	42460	22662
1304	42486	22626
1305	42508	22588
1306	42540	22555
1307	42565	22519
1308	42590	22482
1309	42618	22447
1310	42644	22412
1311	42670	22375
1312	42696	22339
1313	42722	22304
1314	42748	22268
1315	42777	22233
1316	42807	22199
1317	42840	22167
1318	42876	22137
1319	42908	22104
1320	42945	22073
1321	42978	22042
1322	43010	22008
1323	43043	21976
1324	43088	21950
1325	43130	21923
1326	43165	21891
1327	43198	21859
1328	43233	21828
1329	43275	21800
1330	43311	21769
1331	43350	21740
1332	43383	21708
1333	43415	21675
1334	43453	21645
1335	43488	21614
1336	43522	21582
1337	43564	21554
1338	43602	21524
1339	43632	21490
1340	43663	21457
1341	43695	21424
1342	43726	21391
1343	43756	21357
1344	43783	21322
1345	43819	21290
1346	43848	21256
1347	43880	21224
1348	43910	21190
1349	43943	21158
1350	43980	21127
1351	44012	21094
1352	44041	21060
1353	44070	21026
1354	44104	20994
1355	44132	20959
1356	44159	20924
1357	44191	20891
1358	44219	20857
1359	44249	20823
1360	44275	20787
1361	44307	20754
1362	44338	20721
1363	44365	20686
1364	44393	20652
1365	44417	20615
1366	44445	20580
1367	44468	20544
1368	44501	20511
1369	44534	20479
1370	44567	20446
1371	44603	20416
1372	44635	20383
1373	44664	20349
1374	44694	20315
1375	44721	20280
1376	44750	20246
1377	44781	20213
1378	44811	20179
1379	44842	20146
1380	44872	20112
1381	44913	20084
1382	44948	20052
1383	44992	20025
1384	45042	20000
1385	45083	19972
1386	45119	19940
1387	45154	19909
1388	45183	19875
1389	45212	19841
1390	45239	19806
1391	45268	19772
1392	45295	19737
1393	45320	19701
